,item,count
724,🥂,1
725,🙎🏼,1
726,💁🏼‍♂,1
727,✍,1
728,🗓,1
729,👯,1
730,👵,1
731,🚼,1
732,📫,1
733,✏️,1
734,🖊,1
735,🔄,1
736,🤐,1
737,🛒,1
738,🍜,1
739,❗,1
740,🛅,1
741,🔐,1
742,🧾,1
743,🛴,1
744,🕴🏼,1
745,🥯,1
746,🧳,1
747,🍔,1
748,🌝,1
749,🌖,1
750,🌗,1
751,🥚,1
752,🕶,1
753,🚙,1
754,🃏,1
755,🤌,1
756,🌕,1
757,🚯,1
758,🦹‍♀️,1
759,🚔,1
760,🚅,1
761,🏍,1
762,🔂,1
763,🈶,1
764,🇫🇲,1
765,🤞🏻,1
766,🤦🏻‍♀️,1
767,📘,1
768,👙,1
769,🍊,1
770,📗,1
771,🚇,1
772,🧍🏽‍♂️,1
773,♾️,1
774,🧔,1
775,🏊‍♀️,1
776,🛖,1
777,🤰🏽,1
778,🩸,1
779,🎮,1
780,⛩,1
781,⚓,1
782,🍄,1
783,💪🏻,1
784,🥊,1
785,🖐,1
786,⬅️,1
787,🌥,1
788,⛑,1
789,🫀,1
790,🫂,1
791,🤳,1
792,9️⃣,1
793,0️⃣,1
794,🕧,1
795,🚶,1
796,🟥,1
797,👇,1
798,🧞‍♀️,1
799,🎍,1
800,⚠️,1
801,🥇,1
802,🌀,1
803,🐶,1
804,💒,1
805,🧍‍♀️,1
806,🦭,1
807,😶‍🌫️,1
808,🧎🏽,1
809,🦗,1
810,🥷,1
811,♀️,1
812,⬜,1
813,👩🏻‍🍳,1
814,🧹,1
815,🤞🏾,1
816,🍉,1
817,🥝,1
818,🧍‍♂️,1
819,👨‍🦲,1
820,👨‍🦼,1
821,👩‍❤️‍💋‍👨,1
822,🧘‍♂️,1
823,🤚,1
824,🪣,1
825,🧘,1
826,🥐,1
827,🚶‍♀️,1
828,🐞,1
829,📠,1
830,😹,1
831,🌚,1
832,🪩,1
833,👵🏼,1
834,🌈,1
835,🔲,1
836,🌹,1
837,🛏️,1
838,🕯️,1
